"serial","year_serial","time_serial","incident_id","school","school_level","date","year","first_shot_time","time_slot","decimal_time","city","state","lat","long","location","location_type","shoot_category","time_slot_group","random","random_x","random_y","random_x1","random_y1","random_x2","random_y2","males","na","females","killed","injured","total","long2","lat2","frequency","school_number","random_x10","random_y10","internal_serial"
47,6,28,"19720215ILKEC","Kenwood High School","High","1972-02-15",1972,"NA:NA:NA",NA,NA,"Chicago","IL",41.8039686,-87.5903236,"Inside School Building","Inside School Building",NA,-1,0.6805088359396905,0.5843774667009711,0.2198464071843773,0.6260028453543782,0.5081335827708244,0.5328083143103868,0.3678422027733177,0,0,0,0,0,0,1026801.615885191,-277478.45614722837,1,936,0.10371156688779593,0.4544371694792062,1
48,7,29,"19720228CAMAL","Markham Junior High School","JuniorHigh","1972-02-28",1972,"NA:NA:NA",NA,NA,"Los Angeles","CA",33.94113,-118.24591,"Inside School Building","Inside School Building","0-5",-1,0.7762080100364983,0.6287229850422591,0.8411028464324772,0.9024568977765739,0.15315372170880437,0.14035764732398093,0.9474007110111415,1,0,0,0,1,1,-1678368.1477958849,-1045359.7822877817,1,1092,0.409945928491652,0.4683751037809998,1
49,8,30,"19720313TXUNH","Unnamed Junior High School","JuniorHigh","1972-03-13",1972,"NA:NA:NA",NA,NA,"Houston","TX",30.710448,-94.9308109,"Classroom","Inside School Building","0-5",-1,0.19502302235923707,0.8456317745149136,0.9852037730161101,0.6536575225181878,0.7746336222626269,0.931617782684043,0.32735332287847996,1,0,0,0,1,1,488936.3747680993,-1567886.5424928952,1,1739,0.4698586887679994,0.6923006484284997,1
50,9,31,"19720412LAEAG","East Ascension Junior High","JuniorHigh","1972-04-12",1972,"NA:NA:NA",NA,NA,"Gonzales","LA",30.222358813279,-90.908604135594,"Inside School Building","Inside School Building","0-5",-1,0.12374930060468614,0.5213417466729879,0.18344650859944522,0.23211264167912304,0.05930293118581176,0.5160565578844398,0.8158083849120885,0,0,1,0,1,1,880356.5988017193,-1589758.5607938124,1,547,0.9506212640553713,0.9303540315013379,1
51,10,4,"19720504NVLIR","Libby Booth Elementary School","Elementary","1972-05-04",1972,"12:00:00",12,12,"Reno","NV",39.5210526,-119.794524,"Office","Inside School Building","0-5",12,0.038854263024404645,0.13334275432862341,0.0639389269053936,0.974306475603953,0.8267907921690494,0.48447829601354897,0.3165592779405415,1,0,0,1,0,1,-1683818.907207734,-406341.425918242,1,1015,0.10729465493932366,0.7092086593620479,1
52,11,2,"19720505INDEI","Decatur Central High School","High","1972-05-05",1972,"13:30:00",13,13.5,"Indianapolis","IN",39.689553,-86.275378,"Field (General)","Outside on School Property","0-5",13,0.804730236530304,0.6823219668585807,0.4397649129386991,0.5892960242927074,0.560830096481368,0.48483172175474465,0.3647217380348593,1,0,0,1,0,1,1171810.4260387823,-492640.2649249391,1,490,0.14381704363040626,0.8111001686193049,1
53,12,5,"19720914TXFRH","Francis Scott Key Junior High","JuniorHigh","1972-09-14",1972,"12:00:00",12,12,"Houston","TX",29.811996,-95.330255,"Hallway","Inside School Building","5-10",12,0.39490087423473597,0.6341480738483369,0.32911125710234046,0.08361625904217362,0.21071911719627678,0.6446979809552431,0.37097487365826964,1,0,0,0,1,1,455033.8173113748,-1668784.4117924229,1,663,0.9391384006012231,0.671531327534467,1
54,13,32,"19720915MISAS","Saginaw High School","High","1972-09-15",1972,"NA:NA:NA",NA,NA,"Saginaw","MI",43.404574,-83.925054,"Hallway","Inside School Building",NA,-1,0.66625458560884,0.946680499939248,0.8177912076935172,0.31525134784169495,0.7859226581640542,0.6637140393722802,0.2721315477974713,2,0,0,0,2,2,1291763.4140183828,-49632.1964840747,3,19,0.6135596183594316,0.7937859361991286,1
55,14,33,"19720919TXCUH","Cullen Junior High","JuniorHigh","1972-09-19",1972,"NA:NA:NA",NA,NA,"Houston","TX",29.69117,-95.36364,"Inside School Building","Inside School Building","5-10",-1,0.007389317033812404,0.839447338366881,0.1585561828687787,0.07064287201501429,0.7674784890841693,0.13065881002694368,0.14158689393661916,0,0,1,0,1,1,452389.85364200576,-1682227.9926292894,1,471,0.9778534048236907,0.7631067023612559,1
56,15,34,"19720921OHTHA","Thorton Junior High","JuniorHigh","1972-09-21",1972,"NA:NA:NA",NA,NA,"Akron","OH",41.06695,-81.5288,"Classroom","Inside School Building","0-5",-1,0.7032220948021859,0.4797081109136343,0.47813475294969976,0.300914857769385,0.10900358483195305,0.7128857572097331,0.09809978166595101,0,0,1,0,1,1,1537206.9364957758,-263769.64838156075,1,1712,0.6305724859703332,0.8622761941514909,1
57,16,35,"19721111CAJEL","Jefferson High School","High","1972-11-11",1972,"NA:NA:NA",NA,NA,"Los Angeles","CA",34.0114,-118.25035,"Football Field/Track","Outside on School Property","0-5",-1,0.2676073685288429,0.8441674076020718,0.5554410961922258,0.5635725012980402,0.9649834567680955,0.2499110430944711,0.15295251039788127,3,0,2,0,5,5,-1677279.4391167373,-1037613.0039627415,1,886,0.15943548013456166,0.9497239936608821,1
58,17,36,"19721127MIPOP","Pontiac Central High School","High","1972-11-27",1972,"NA:NA:NA",NA,NA,"Pontiac","MI",42.63753,-83.3016,"Outside on School Property","Outside on School Property","Multiple",-1,0.25520918727852404,0.339688862208277,0.6747505192179233,0.17025347333401442,0.3579301133286208,0.22759632067754865,0.3254732934292406,3,0,2,0,5,5,1358029.0171508142,-123484.04705208712,1,1401,0.06556070852093399,0.38843308319337666,1
59,18,37,"19721129FLMIM","Miami Northwest High School","High","1972-11-29",1972,"NA:NA:NA",NA,NA,"Miami","FL",25.72266,-80.33919,"Off School Property","Off School Property","0-5",-1,0.47239283192902803,0.33120894501917064,0.9869187853764743,0.24189627240411937,0.40006199665367603,0.8234932483173907,0.9177501623053104,1,0,0,0,1,1,1980520.937891613,-1908027.3383881515,1,1159,0.5855655763298273,0.891944850794971,1
